round,day,home,away,stadium,home_state,away_state
12,2023-06-25,Santos,Flamengo,Estádio Urbano Caldeira,SP,RJ
13,2023-07-02,Cuiabá-MT,Santos,Arena Pantanal,,SP
13,2023-07-02,Botafogo,Vasco da Gama,Estádio Olímpico Nilton Santos,RJ,RJ
13,2023-07-01,São Paulo,Fluminense,Estádio Cícero Pompeu de Toledo,SP,RJ
13,2023-07-04,Goiás,Coritiba FC,Estádio Serra Dourada,GO,
13,2023-07-02,Atlético-MG,América-MG,Estádio Governador Magalhães Pinto,MG,MG
13,2023-07-02,Athletico-PR,Palmeiras,Ligga Arena,PR,SP
13,2023-07-02,Internacional,Cruzeiro,Estádio Beira-Rio,RS,MG
13,2023-07-01,Flamengo,Fortaleza,Estádio Jornalista Mário Filho,RJ,CE
13,2023-07-01,EC Bahia,Grêmio,Arena Fonte Nova,BA,RS
13,2023-07-02,Corinthians,RB Bragantino,Neo Química Arena ,SP,
14,2023-07-08,Atlético-MG,Corinthians,Estádio Governador Magalhães Pinto,MG,SP
14,2023-07-09,Fluminense,Internacional,Estádio Jornalista Mário Filho,RJ,RS
14,2023-07-09,Santos,Goiás,Estádio Urbano Caldeira,SP,GO
14,2023-07-09,Grêmio,Botafogo,Arena do Grêmio,RS,RJ
14,2023-07-09,Fortaleza,Athletico-PR,Estádio Governador Plácido Castelo,CE,PR
14,2023-07-09,RB Bragantino,São Paulo,Estádio Nabi Abi Chedid,,SP
14,2023-07-08,Coritiba FC,América-MG,Estádio Major Antônio Couto Pereira,,MG
14,2023-07-08,Cuiabá-MT,EC Bahia,Arena Pantanal,,BA
14,2023-07-09,Palmeiras,Flamengo,Allianz Parque,SP,RJ
14,2023-07-08,Vasco da Gama,Cruzeiro,Estádio São Januário,RJ,MG
15,2023-09-19,Corinthians,Grêmio,Neo Química Arena ,SP,RS
15,2023-07-16,Fortaleza,Cuiabá-MT,Estádio Governador Plácido Castelo,CE,
15,2023-09-26,América-MG,Vasco da Gama,Estádio Raimundo Sampaio,MG,RJ
15,2023-07-16,Athletico-PR,EC Bahia,Ligga Arena,PR,BA
15,2023-07-16,Cruzeiro,Coritiba FC,Estádio Governador Magalhães Pinto,MG,
15,2023-07-18,Goiás,Atlético-MG,Estádio Serra Dourada,GO,MG
15,2023-07-16,Internacional,Palmeiras,Estádio Beira-Rio,RS,SP
15,2023-07-16,São Paulo,Santos,Estádio Cícero Pompeu de Toledo,SP,SP
15,2023-07-16,Fluminense,Flamengo,Estádio Jornalista Mário Filho,RJ,RJ
15,2023-07-16,Botafogo,RB Bragantino,Estádio Olímpico Nilton Santos,RJ,
16,2023-07-22,Flamengo,América-MG,Estádio Jornalista Mário Filho,RJ,MG
