round,day,home,away,stadium,home_state,away_state
33,31/03/2024,Atlético-MG,Cuiabá,Arena MRV,MG,MT
33,01/04/2024,Coritiba,Cruzeiro,Couto Pereira,PR,MG
33,02/04/2024,Botafogo,Athletico-PR,Nilton Santos (Engenhão),RJ,PR
33,31/03/2024,Fluminense,Vasco,Maracanã,RJ,RJ
34,07/04/2024,Cuiabá,Palmeiras,Arena Pantanal,MT,SP
34,08/04/2024,Coritiba,Fortaleza,Couto Pereira,PR,CE
34,09/04/2024,Bahia,Athletico-PR,Arena Fonte Nova,BA,PR
34,07/04/2024,Vasco,América-MG,São Januário,RJ,MG
34,08/04/2024,Fluminense,Goiás,Maracanã,RJ,GO
34,09/04/2024,RB Bragantino,Botafogo,Nabi Abi Chedid,SP,RJ
34,07/04/2024,Cruzeiro,Flamengo,Mineirão,MG,RJ
34,08/04/2024,Corinthians,Atlético-MG,Neo Química Arena,SP,MG
34,09/04/2024,São Paulo,Internacional,Morumbi,SP,RS
34,07/04/2024,Santos,Grêmio,Vila Belmiro,SP,RS
35,14/04/2024,Santos,Palmeiras,Vila Belmiro,SP,SP
35,15/04/2024,São Paulo,Grêmio,Morumbi,SP,RS
35,16/04/2024,Internacional,Corinthians,Beira-Rio,RS,SP
35,14/04/2024,Flamengo,Atlético-MG,Maracanã,RJ,MG
35,15/04/2024,Cruzeiro,RB Bragantino,Mineirão,MG,SP
35,16/04/2024,Botafogo,Goiás,Nilton Santos (Engenhão),RJ,GO
35,14/04/2024,América-MG,Fluminense,Independência,MG,RJ
35,15/04/2024,Vasco,Bahia,São Januário,RJ,BA
35,16/04/2024,Athletico-PR,Fortaleza,Ligga Arena,PR,CE
35,14/04/2024,Cuiabá,Coritiba,Arena Pantanal,MT,PR
36,21/04/2024,Palmeiras,Grêmio,Allianz Parque,SP,RS
36,22/04/2024,Internacional,Santos,Beira-Rio,RS,SP
36,23/04/2024,Atlético-MG,São Paulo,Arena MRV,MG,SP
36,21/04/2024,Corinthians,Cruzeiro,Neo Química Arena,SP,MG
36,22/04/2024,Botafogo,Flamengo,Nilton Santos (Engenhão),RJ,RJ
36,23/04/2024,RB Bragantino,Fluminense,Nabi Abi Chedid,SP,RJ
36,21/04/2024,Goiás,Vasco,Hailé Pinheiro,GO,RJ
36,22/04/2024,América-MG,Athletico-PR,Independência,MG,PR
36,23/04/2024,Coritiba,Bahia,Couto Pereira,PR,BA
36,21/04/2024,Fortaleza,Cuiabá,Castelão,CE,MT
37,28/04/2024,Palmeiras,Internacional,Allianz Parque,SP,RS
37,29/04/2024,Grêmio,Atlético-MG,Arena do Grêmio,RS,MG
37,30/04/2024,Santos,Cruzeiro,Vila Belmiro,SP,MG
37,28/04/2024,São Paulo,Botafogo,Morumbi,SP,RJ
37,29/04/2024,Fluminense,Corinthians,Maracanã,RJ,SP
37,30/04/2024,Vasco,Flamengo,São Januário,RJ,RJ
37,28/04/2024,Athletico-PR,RB Bragantino,Ligga Arena,PR,SP
37,29/04/2024,Goiás,Coritiba,Hailé Pinheiro,GO,PR
37,30/04/2024,Cuiabá,América-MG,Arena Pantanal,MT,MG
37,28/04/2024,Bahia,Fortaleza,Arena Fonte Nova,BA,CE
38,05/05/2024,Botafogo,Palmeiras,Nilton Santos (Engenhão),RJ,SP
38,06/05/2024,Cruzeiro,Fluminense,Mineirão,MG,RJ
38,07/05/2024,Atlético-MG,Vasco,Arena MRV,MG,RJ
38,05/05/2024,Athletico-PR,Internacional,Ligga Arena,PR,RS
38,06/05/2024,Coritiba,Grêmio,Couto Pereira,PR,RS
38,07/05/2024,Cuiabá,Santos,Arena Pantanal,MT,SP
38,05/05/2024,Fortaleza,São Paulo,Castelão,CE,SP
38,06/05/2024,Corinthians,Bahia,Neo Química Arena,SP,BA
38,07/05/2024,Flamengo,América-MG,Maracanã,RJ,MG
38,05/05/2024,RB Bragantino,Goiás,Nabi Abi Chedid,SP,GO
