Rodada,Data,Mandante,Visitante,Estádio,PRV
19,25/12/2023,Corinthians,Sport,Neo Química Arena,0
19,26/12/2023,Fortaleza,Internacional,Castelão,0
19,26/12/2023,São Paulo,Vitória,Morumbi,0
19,26/12/2023,Botafogo,Athletico-PR,Nilton Santos (Engenhão),0
20,01/01/2024,Athletico-PR,Atlético-MG,Ligga Arena,0
20,01/01/2024,Flamengo,Vitória,Maracanã,0
20,01/01/2024,Santos,Fortaleza,Vila Belmiro,0
20,02/01/2024,Bahia,Corinthians,Arena Fonte Nova,0
20,02/01/2024,Cuiabá,Grêmio,Arena Pantanal,0
20,02/01/2024,Cruzeiro,Vasco,Mineirão,0
20,31/12/2023,Palmeiras,Sport,Allianz Parque,0
20,31/12/2023,Coritiba,Internacional,Couto Pereira,0
20,31/12/2023,São Paulo,Ceará,Morumbi,0
20,31/12/2023,Botafogo,Fluminense,Nilton Santos (Engenhão),0
21,07/01/2024,Grêmio,Athletico-PR,Arena do Grêmio,0
21,07/01/2024,Vitória,Palmeiras,Barradão,0
21,07/01/2024,Cruzeiro,Botafogo,Mineirão,0
21,07/01/2024,Corinthians,Fortaleza,Neo Química Arena,0
21,08/01/2024,Bahia,Sport,Arena Fonte Nova,0
21,08/01/2024,Cuiabá,São Paulo,Arena Pantanal,0
21,08/01/2024,Internacional,Vasco,Beira-Rio,0
21,09/01/2024,Atlético-MG,Fluminense,Arena MRV,0
21,09/01/2024,Coritiba,Santos,Couto Pereira,0
21,09/01/2024,Flamengo,Ceará,Maracanã,0
22,14/01/2024,Bahia,Palmeiras,Arena Fonte Nova,0
22,14/01/2024,Flamengo,Cuiabá,Maracanã,0
22,14/01/2024,Cruzeiro,Atlético-MG,Mineirão,0
22,14/01/2024,Santos,Vasco,Vila Belmiro,0
22,15/01/2024,Grêmio,Fluminense,Arena do Grêmio,0
22,15/01/2024,Ceará,Vitória,Castelão,0
22,15/01/2024,Coritiba,Corinthians,Couto Pereira,0
22,16/01/2024,Internacional,Botafogo,Beira-Rio,0
22,16/01/2024,Sport,Fortaleza,Ilha do Retiro,0
22,16/01/2024,Athletico-PR,São Paulo,Ligga Arena,0
23,21/01/2024,Internacional,Atlético-MG,Beira-Rio,0
23,21/01/2024,Ceará,Palmeiras,Castelão,0
23,21/01/2024,Sport,Coritiba,Ilha do Retiro,0
23,21/01/2024,Fluminense,São Paulo,Maracanã,0
23,22/01/2024,Bahia,Fortaleza,Arena Fonte Nova,0
23,22/01/2024,Athletico-PR,Flamengo,Ligga Arena,0
23,22/01/2024,Botafogo,Santos,Nilton Santos (Engenhão),0
23,23/01/2024,Cuiabá,Vitória,Arena Pantanal,0
23,23/01/2024,Cruzeiro,Grêmio,Mineirão,0
23,23/01/2024,Vasco,Corinthians,São Januário,0
24,28/01/2024,Grêmio,Internacional,Arena do Grêmio,0
24,28/01/2024,Fortaleza,Palmeiras,Castelão,0
24,28/01/2024,Athletico-PR,Vitória,Ligga Arena,0
24,28/01/2024,Botafogo,Corinthians,Nilton Santos (Engenhão),0
24,29/01/2024,Ceará,Cuiabá,Castelão,1
24,29/01/2024,Sport,Vasco,Ilha do Retiro,0
24,29/01/2024,Cruzeiro,São Paulo,Mineirão,0
24,30/01/2024,Bahia,Coritiba,Arena Fonte Nova,0
24,30/01/2024,Atlético-MG,Santos,Arena MRV,0
24,30/01/2024,Flamengo,Fluminense,Maracanã,0
25,04/02/2024,Cuiabá,Palmeiras,Arena Pantanal,0
25,04/02/2024,Flamengo,Cruzeiro,Maracanã,0
25,04/02/2024,Vasco,Bahia,São Januário,0
25,04/02/2024,Santos,Grêmio,Vila Belmiro,0
25,05/02/2024,Fortaleza,Coritiba,Castelão,0
25,05/02/2024,Fluminense,Vitória,Maracanã,1
25,05/02/2024,Corinthians,Atlético-MG,Neo Química Arena,0
25,06/02/2024,Internacional,São Paulo,Beira-Rio,0
25,06/02/2024,Sport,Botafogo,Ilha do Retiro,0
25,06/02/2024,Athletico-PR,Ceará,Ligga Arena,0
26,11/02/2024,Atlético-MG,Sport,Arena MRV,0
26,11/02/2024,Ceará,Fluminense,Castelão,0
26,11/02/2024,Coritiba,Palmeiras,Couto Pereira,0
26,11/02/2024,São Paulo,Santos,Morumbi,0
26,12/02/2024,Cuiabá,Athletico-PR,Arena Pantanal,0
26,12/02/2024,Internacional,Flamengo,Beira-Rio,0
26,12/02/2024,Botafogo,Bahia,Nilton Santos (Engenhão),0
26,13/02/2024,Vitória,Cruzeiro,Barradão,0
26,13/02/2024,Fortaleza,Vasco,Castelão,1
26,13/02/2024,Corinthians,Grêmio,Neo Química Arena,0
27,18/02/2024,Palmeiras,Athletico-PR,Allianz Parque,0
27,18/02/2024,Vitória,Internacional,Barradão,0
27,18/02/2024,Fortaleza,Botafogo,Castelão,0
27,18/02/2024,Corinthians,São Paulo,Neo Química Arena,0
27,19/02/2024,Grêmio,Sport,Arena do Grêmio,0
27,19/02/2024,Cruzeiro,Ceará,Mineirão,0
27,19/02/2024,Vasco,Coritiba,São Januário,0
27,20/02/2024,Atlético-MG,Bahia,Arena MRV,0
27,20/02/2024,Cuiabá,Fluminense,Arena Pantanal,0
27,20/02/2024,Flamengo,Santos,Maracanã,0
28,25/02/2024,Palmeiras,Vasco,Allianz Parque,0
28,25/02/2024,Cuiabá,Cruzeiro,Arena Pantanal,0
28,25/02/2024,Grêmio,Bahia,Arena do Grêmio,0
28,25/02/2024,Corinthians,Flamengo,Neo Química Arena,0
28,26/02/2024,Vitória,Santos,Barradão,0
28,26/02/2024,Fortaleza,Atlético-MG,Castelão,0
28,26/02/2024,Athletico-PR,Fluminense,Ligga Arena,0
28,27/02/2024,Internacional,Ceará,Beira-Rio,0
28,27/02/2024,Coritiba,Botafogo,Couto Pereira,0
28,27/02/2024,São Paulo,Sport,Morumbi,0
29,03/03/2024,Coritiba,Atlético-MG,Couto Pereira,0
